date,hour,event_type,description,program
2021-01-18,17:30,Entretien,"Entretien avec Kenneth ROTH, directeur exécutif de Human Rights Watch, Bruno STAGNO-UGARTE, directeur exécutif adjoint de Human Rights Watch et Bénédicte JEANNEROD, directrice France de Human Rights Watch.",[]
2021-01-18,19:00,Réunion,"Réunion ministérielle en présence de M. Olivier VÉRAN, ministre des Solidarités et de la Santé, M. Gabriel ATTAL, secrétaire d'État auprès du Premier ministre, Porte-parole du Gouvernement,  et Mme Agnès PANNIER-RUNACHER, ministre déléguée auprès du ministre de l'Économie, des Finances et de la Relance, chargée de l’Industrie.",[]
2021-01-18,20:30,Dîner,"Dîner avec M. Idriss DÉBY, Président de la République du Tchad.",[]
2021-01-19,09:00,Conseil de défense,Conseil restreint de défense et de sécurité nationale.,[]
2021-01-19,16:45,Discours,Vœux aux armées depuis la Préfecture Maritime de l’Atlantique à Brest.,['Vœux aux armées depuis la Préfecture Maritime de l’Atlantique à Brest.']
2021-01-20,09:00,Conseil de défense,Conseil de défense Covid-19.,[]
2021-01-20,10:30,Conseil des ministres,Conseil des ministres.,['Compte rendu du Conseil des ministres du mercredi 20 janvier 2021.']
2021-01-20,17:00,Réception,Remise par Benjamin STORA du rapport sur les questions mémorielles portant sur la colonisation et la guerre d'Algérie.,['Remise du rapport sur la mémoire de la colonisation et de la guerre d’Algérie.']
2021-01-21,10:00,Déplacement,Déplacement à l'université de Paris-Saclay pour présenter la stratégie nationale sur les technologies quantiques.,['Présentation de la stratégie nationale sur les technologies quantiques.']
2021-01-21,18:00,Sommet,Conseil européen en visioconférence.,[]
2021-01-24,19:15,Entretien,"Entretien téléphonique avec M. Joe BIDEN, Président des États-Unis d’Amérique","['Entretien téléphonique avec M. Joe BIDEN, Président des États-Unis d’Amérique']"
2021-01-25,11:00,Réunion,Visioconférence Choose France avec des dirigeants de grands groupes étrangers.,['Visioconférence Choose France avec des dirigeants de grands groupes étrangers.']
2021-01-25,15:00,Réunion,Visioconférence avec des dirigeants de l'industrie pharmaceutique mondiale.,[]
2021-01-25,17:15,Entretien,"Entretien téléphonique avec M.Satya NADELLA, PDG de Microsoft.",[]
2021-01-25,18:15,Entretien,"Entretien téléphonique avec M. Sundar PICHAI, PDG de Google.",[]
2021-01-26,09:00,Conseil de défense,Conseil restreint de défense et de sécurité nationale.,[]
2021-01-26,15:00,Sommet,"Intervention à l’Agenda de Davos, événement virtuel du World Economic Forum.",[]
2021-01-27,09:00,Conseil de défense,Conseil de défense Covid-19.,[]
2021-01-27,10:30,Conseil des ministres,Conseil des ministres.,['Compte rendu du Conseil des ministres du mercredi 27 janvier 2021.']
2021-01-27,13:15,Déjeuner,"Déjeuner avec M. Bah N’DAW, Président de la Transition de la République du Mali.",[]
2021-01-28,11:00,Réunion,"Réunion sur les essais thérapeutiques et les traitements contre la Covid-19, en présence de M. Olivier VERAN, ministre des Solidarités et de la Santé.",[]
